GroupContents,singleContents,clctitem,MIN Value,MAX Value,Types,digit length,SingleMethodName,isUse,BT6
BarcodeReading,BarcodeReading,,0,0,,,BarcodeReading,1,1
Thermistor Deviation,Module Temp deviation,WP2MMMTQ2001,-4,4,'C,1,Module_Thermistor,1,1
Cell Voltages,1 Cell Voltage check,WP2MMMTQ2002,3.49,3.53,V,5,Cell1_Voltage,1,1
Cell Voltages,2 Cell Voltage check,WP2MMMTQ2003,3.49,3.53,V,5,Cell2_Voltage,1,1
Cell Voltages,3 Cell Voltage check,WP2MMMTQ2004,3.49,3.53,V,5,Cell3_Voltage,1,1
Cell Voltages,4 Cell Voltage check,WP2MMMTQ2005,3.49,3.53,V,5,Cell4_Voltage,1,1
Cell Voltages,5 Cell Voltage check,WP2MMMTQ2006,3.49,3.53,V,5,Cell5_Voltage,1,1
Cell Voltages,6 Cell Voltage check,WP2MMMTQ2007,3.49,3.53,V,5,Cell6_Voltage,1,1
Cell Voltages,7 Cell Voltage check,WP2MMMTQ2008,3.49,3.53,V,5,Cell7_Voltage,1,1
Cell Voltages,8 Cell Voltage check,WP2MMMTQ2009,3.49,3.53,V,5,Cell8_Voltage,1,1
Cell Voltages,9 Cell Voltage check,WP2MMMTQ2010,3.49,3.53,V,5,Cell9_Voltage,1,1
Cell Voltages,10 Cell Voltage check,WP2MMMTQ2011,3.49,3.53,V,5,Cell10_Voltage,1,1
Cell Voltages,11 Cell Voltage check,WP2MMMTQ2012,3.49,3.53,V,5,Cell11_Voltage,1,1
Cell Voltages,12 Cell Voltage check,WP2MMMTQ2013,3.49,3.53,V,5,Cell12_Voltage,1,1
Cell Voltages,Cell Voltage deviation check,WP2MMMTQ2014,0,20,mV,0,Cell_Voltage_Deviation,1,1
Cell Voltages,Cell Voltage Devation Form Cell Inspection,WP2MMMTQ2062,-5,3,mV,3,Cell_Voltage_Deviation_FromCellInspection,1,1
Module Voltage,Module Voltage check,WP2MMMTQ2015,41.88,42.36,V,3,Module_Voltage,1,1
DCIR,1 Cell DCIR check,WP2MMMTQ2016,1.26,1.56,mOhm,3,Cell1_DCIR,1,1
DCIR,2 Cell DCIR check,WP2MMMTQ2017,1.26,1.56,mOhm,3,Cell2_DCIR,1,1
DCIR,3 Cell DCIR check,WP2MMMTQ2018,1.26,1.56,mOhm,3,Cell3_DCIR,1,1
DCIR,4 Cell DCIR check,WP2MMMTQ2019,1.26,1.56,mOhm,3,Cell4_DCIR,1,1
DCIR,5 Cell DCIR check,WP2MMMTQ2020,1.26,1.56,mOhm,3,Cell5_DCIR,1,1
DCIR,6 Cell DCIR check,WP2MMMTQ2021,1.26,1.56,mOhm,3,Cell6_DCIR,1,1
DCIR,7 Cell DCIR check,WP2MMMTQ2022,1.26,1.56,mOhm,3,Cell7_DCIR,1,1
DCIR,8 Cell DCIR check,WP2MMMTQ2023,1.26,1.56,mOhm,3,Cell8_DCIR,1,1
DCIR,9 Cell DCIR check,WP2MMMTQ2024,1.26,1.56,mOhm,3,Cell9_DCIR,1,1
DCIR,10 Cell DCIR check,WP2MMMTQ2025,1.26,1.56,mOhm,3,Cell10_DCIR,1,1
DCIR,11 Cell DCIR check,WP2MMMTQ2026,1.26,1.56,mOhm,3,Cell11_DCIR,1,1
DCIR,12 Cell DCIR check,WP2MMMTQ2027,1.26,1.56,mOhm,3,Cell12_DCIR,1,1
DCIR,Cell DCIR Deviation,WP2MMMTQ2028,0,0.16,mOhm,3,Cell_DCIR_Deviation,1,1
DCIR,Cell DCIR Ratio,WP2MMMTQ2029,100,111,%,0,Cell_DCIR_Ratio,1,1
DCIR,Module DCIR check,WP2MMMTQ2030,15,18,mOhm,3,Module_DCIR,1,1
Thermistor Deviation2,Module Temp deviation2,WP2MMMTQ2061,-4,4,'C,1,Module_Thermistor,1,1
Cl Thermistor Deviation,Module Temp deviation Control Limit,WP2MMMTQ2031,-3,3,'C,1,CI_0,0,1
Cl Thermistor Deviation,1 Cell Voltage Control Limit,WP2MMMTQ2032,32,32,V,3,CI_1,0,1
Cl Cell Voltages,2 Cell Voltage Control Limit,WP2MMMTQ2033,33,33,V,3,CI_2,0,1
Cl Cell Voltages,3 Cell Voltage Control Limit,WP2MMMTQ2034,34,34,V,3,CI_3,0,1
Cl Cell Voltages,4 Cell Voltage Control Limit,WP2MMMTQ2035,35,35,V,3,CI_4,0,1
Cl Cell Voltages,5 Cell Voltage Control Limit,WP2MMMTQ2036,36,36,V,3,CI_5,0,1
Cl Cell Voltages,6 Cell Voltage Control Limit,WP2MMMTQ2037,37,37,V,3,CI_6,0,1
Cl Cell Voltages,7 Cell Voltage Control Limit,WP2MMMTQ2038,38,38,V,3,CI_7,0,1
Cl Cell Voltages,8 Cell Voltage Control Limit,WP2MMMTQ2039,39,39,V,3,CI_8,0,1
Cl Cell Voltages,9 Cell Voltage Control Limit,WP2MMMTQ2040,40,40,V,3,CI_9,0,1
Cl Cell Voltages,10 Cell Voltage Control Limit,WP2MMMTQ2041,41,41,V,3,CI_10,0,1
Cl Cell Voltages,11 Cell Voltage Control Limit,WP2MMMTQ2042,42,42,V,3,CI_11,0,1
Cl Cell Voltages,12 Cell Voltage Control Limit,WP2MMMTQ2043,43,43,V,3,CI_12,0,1
Cl Cell Voltages,Cell Voltage deviation Control Limit,WP2MMMTQ2044,44,44,mV,0,CI_13,0,1
Cl Module Voltage,Module Voltage Control Limit,WP2MMMTQ2045,45,45,V,3,CI_14,0,1
Cl DCIR,1 Cell DCIR Control Limit,WP2MMMTQ2046,1.13,1.65,mOhm,3,CI_15,0,1
